+-----+----------------------------------------------------------------------------------------------+------------------------+--------------------+-------+-------+
| id  |                                             name                                             |          type          |        city        | state |  zip  |
| 43   | 15          | Henry C Sanborn Elementary                                                        | Public School  | Andover                | MA    | 01810 |
| 44   | 15          | High Plain Elementary                                                             | Public School  | Andover                | MA    | 01810 |
| 45   | 15          | Shawsheen School                                                                  | Public School  | Andover                | MA    | 01810 |
| 46   | 15          | South Elementary                                                                  | Public School  | Andover                | MA    | 01810 |
| 47   | 15          | West Elementary                                                                   | Public School  | Andover                | MA    | 01810 |
| 48   | 15          | Wood Hill Middle School                                                           | Public School  | Andover                | MA    | 01810 |
| 49   | 17          | Argosy Collegiate Charter School                                                  | Charter School | Fall River             | MA    | 02724 |
| 50   | 18          | Arlington High                                                                    | Public School  | Arlington              | MA    | 02476 |
| 51   | 18          | Brackett                                                                          | Public School  | Arlington              | MA    | 02476 |
| 52   | 18          | Cyrus E Dallin                                                                    | Public School  | Arlington              | MA    | 02476 |
| 53   | 18          | Gibbs School                                                                      | Public School  | Arlington              | MA    | 02474 |
| 54   | 18          | Hardy                                                                             | Public School  | Arlington              | MA    | 02474 |
| 55   | 18          | John A Bishop                                                                     | Public School  | Arlington              | MA    | 02474 |
| 56   | 18          | M Norcross Stratton                                                               | Public School  | Arlington              | MA    | 02474 |
| 57   | 18          | Menotomy Preschool                                                                | Public School  | Arlington              | MA    | 02476 |
| 58   | 18          | Ottoson Middle                                                                    | Public School  | Arlington              | MA    | 02476 |
| 59   | 18          | Peirce                                                                            | Public School  | Arlington              | MA    | 02474 |
| 60   | 18          | Thompson                                                                          | Public School  | Arlington              | MA    | 02474 |
| 61   | 20          | Briggs Elementary                                                                 | Public School  | Ashburnham             | MA    | 01430 |
| 62   | 20          | Meetinghouse School                                                               | Public School  | Westminster            | MA    | 01473 |
| 63   | 20          | Oakmont Regional High School                                                      | Public School  | Ashburnham             | MA    | 01430 |
| 64   | 20          | Overlook Middle School                                                            | Public School  | Ashburnham             | MA    | 01430 |
| 65   | 20          | Westminster Elementary                                                            | Public School  | Westminster            | MA    | 01473 |
| 66   | 23          | Ashland High                                                                      | Public School  | Ashland                | MA    | 01721 |
| 67   | 23          | Ashland Middle                                                                    | Public School  | Ashland                | MA    | 01721 |
| 68   | 23          | David Mindess                                                                     | Public School  | Ashland                | MA    | 01721 |
| 69   | 23          | Henry E Warren Elementary                                                         | Public School  | Ashland                | MA    | 01721 |
| 70   | 23          | William Pittaway Elementary                                                       | Public School  | Ashland                | MA    | 01721 |
| 71   | 24          | Assabet Valley Vocational High School                                             | Public School  | Marlborough            | MA    | 01752 |
| 72   | 26          | Athol Community Elementary School                                                 | Public School  | Athol                  | MA    | 01331 |
| 73   | 26          | Athol High                                                                        | Public School  | Athol                  | MA    | 01331 |
| 74   | 26          | Athol-Royalston Middle School                                                     | Public School  | Athol                  | MA    | 01331 |
| 75   | 26          | Royalston Community School                                                        | Public School  | Royalston              | MA    | 01368 |
| 76   | 27          | Atlantis Charter School                                                           | Charter School | Fall River             | MA    | 02721 |
| 77   | 28          | A. Irvin Studley Elementary School                                                | Public School  | Attleboro              | MA    | 02703 |
| 78   | 28          | Attleboro Community Academy                                                       | Public School  | Attleboro              | MA    | 02703 |
| 79   | 28          | Attleboro High                                                                    | Public School  | Attleboro              | MA    | 02703 |
| 80   | 28          | Attleboro Virtual Academy                                                         | Public School  | Attleboro              | MA    | 02703 |
| 81   | 28          | Cyril K. Brennan Middle School                                                    | Public School  | Attleboro              | MA    | 02703 |
| 82   | 28          | Early Learning Center                                                             | Public School  | Attleboro              | MA    | 02703 |
| 83   | 28          | Hill-Roberts Elementary School                                                    | Public School  | Attleboro              | MA    | 02703 |
| 84   | 28          | Hyman Fine Elementary School                                                      | Public School  | Attleboro              | MA    | 02703 |
| 85   | 28          | Peter Thacher Elementary School                                                   | Public School  | Attleboro              | MA    | 02703 |
| 86   | 28          | Robert J. Coelho Middle School                                                    | Public School  | Attleboro              | MA    | 02703 |
| 87   | 28          | Thomas Willett Elementary School                                                  | Public School  | Attleboro              | MA    | 02703 |
| 88   | 28          | Wamsutta Middle School                                                            | Public School  | Attleboro              | MA    | 02703 |
| 89   | 29          | Auburn Middle                                                                     | Public School  | Auburn                 | MA    | 01501 |
| 90   | 29          | Auburn Senior High                                                                | Public School  | Auburn                 | MA    | 01501 |
| 91   | 29          | Bryn Mawr                                                                         | Public School  | Auburn                 | MA    | 01501 |
| 92   | 29          | Pakachoag School                                                                  | Public School  | Auburn                 | MA    | 01501 |
| 93   | 29          | Swanson Road Intermediate School                                                  | Public School  | Auburn                 | MA    | 01501 |
| 94   | 30          | Avon Middle High School                                                           | Public School  | Avon                   | MA    | 02322 |
| 95   | 30          | Ralph D Butler                                                                    | Public School  | Avon                   | MA    | 02322 |
| 96   | 32          | Ayer Shirley Regional High School                                                 | Public School  | Ayer                   | MA    | 01432 |
| 97   | 32          | Ayer Shirley Regional Middle School                                               | Public School  | Shirley                | MA    | 01464 |
| 98   | 32          | Lura A. White Elementary School                                                   | Public School  | Shirley                | MA    | 01464 |
| 99   | 32          | Page Hilltop Elementary School                                                    | Public School  | Ayer                   | MA    | 01432 |
| 100  | 33          | Barnstable Community Innovation School                                            | Public School  | Hyannis                | MA    | 02601 |
| 101  | 33          | Barnstable High                                                                   | Public School  | Hyannis                | MA    | 02601 |
| 102  | 33          | Barnstable Intermediate School                                                    | Public School  | Hyannis                | MA    | 02601 |
| 103  | 33          | Barnstable United Elementary School                                               | Public School  | Marston Mills          | MA    | 02648 |
| 104  | 33          | Centerville Elementary                                                            | Public School  | Centerville            | MA    | 02632 |
| 105  | 33          | Enoch Cobb Early Learning Center                                                  | Public School  | Hyannis                | MA    | 02601 |
| 106  | 33          | Hyannis West Elementary                                                           | Public School  | Hyannis                | MA    | 02601 |
| 107  | 33          | West Barnstable Elementary                                                        | Public School  | West Barnstable        | MA    | 02668 |
| 108  | 33          | West Villages Elementary School                                                   | Public School  | Marstons Mills         | MA    | 02648 |
| 109  | 35          | Baystate Academy Charter Public School                                            | Charter School | Springfield            | MA    | 01104 |
| 110  | 37          | Bedford High                                                                      | Public School  | Bedford                | MA    | 01730 |
| 111  | 37          | John Glenn Middle                                                                 | Public School  | Bedford                | MA    | 01730 |
| 112  | 37          | Lt Eleazer Davis                                                                  | Public School  | Bedford                | MA    | 01730 |
| 113  | 37          | Lt Job Lane School                                                                | Public School  | Bedford                | MA    | 01730 |
| 114  | 38          | Belchertown High                                                                  | Public School  | Belchertown            | MA    | 01007 |
| 115  | 38          | Chestnut Hill Community School                                                    | Public School  | Belchertown            | MA    | 01007 |
| 116  | 38          | Cold Spring                                                                       | Public School  | Belchertown            | MA    | 01007 |
| 117  | 38          | Jabish Middle School                                                              | Public School  | Belchertown            | MA    | 01007 |
| 118  | 38          | Swift River Elementary                                                            | Public School  | Belchertown            | MA    | 01007 |
| 119  | 39          | Bellingham Early Childhood Center                                                 | Public School  | Bellingham             | MA    | 02019 |
| 120  | 39          | Bellingham High School                                                            | Public School  | Bellingham             | MA    | 02019 |
| 121  | 39          | Bellingham Memorial School                                                        | Public School  | Bellingham             | MA    | 02019 |
| 122  | 39          | Joseph F DiPietro Elementary School                                               | Public School  | Bellingham             | MA    | 02019 |
| 123  | 39          | Keough Memorial Academy                                                           | Public School  | Bellingham             | MA    | 02019 |
| 124  | 39          | Stall Brook                                                                       | Public School  | Bellingham             | MA    | 02019 |
| 125  | 40          | Belmont High                                                                      | Public School  | Belmont                | MA    | 02478 |
| 126  | 40          | Daniel Butler                                                                     | Public School  | Belmont                | MA    | 02478 |
| 127  | 40          | Mary Lee Burbank                                                                  | Public School  | Belmont                | MA    | 02478 |
| 128  | 40          | Roger E Wellington                                                                | Public School  | Belmont                | MA    | 02478 |
| 129  | 40          | Winn Brook                                                                        | Public School  | Belmont                | MA    | 02478 |
| 130  | 40          | Winthrop L Chenery Middle                                                         | Public School  | Belmont                | MA    | 02478 |
| 131  | 41          | Benjamin Banneker Charter Public School                                           | Charter School | Cambridge              | MA    | 02140 |
| 132  | 42          | Benjamin Franklin Classical Charter Public School                                 | Charter School | Franklin               | MA    | 02038 |
| 133  | 43          | Berkley Community School                                                          | Public School  | Berkley                | MA    | 02779 |
| 134  | 43          | Berkley Middle School                                                             | Public School  | Berkley                | MA    | 02779 |
| 135  | 44          | Berkshire Arts and Technology Charter Public School                               | Charter School | Adams                  | MA    | 01220 |
| 136  | 45          | Monument Mt Regional High                                                         | Public School  | Great Barrington       | MA    | 01230 |
| 137  | 45          | Muddy Brook Regional Elementary School                                            | Public School  | Great Barrington       | MA    | 01230 |
| 138  | 45          | W.E.B. Du Bois Regional Middle School                                             | Public School  | Great Barrington       | MA    | 01230 |
| 139  | 47          | Berlin Memorial School                                                            | Public School  | Berlin                 | MA    | 01503 |
| 140  | 47          | Boylston Elementary School                                                        | Public School  | Boylston               | MA    | 01505 |
| 141  | 47          | Tahanto Regional High                                                             | Public School  | Boylston               | MA    | 01505 |
| 142  | 49          | Ayers/Ryal Side School                                                            | Public School  | Beverly                | MA    | 01915 |
| 143  | 49          | Beverly High                                                                      | Public School  | Beverly                | MA    | 01915 |
| 144  | 49          | Beverly Middle School                                                             | Public School  | Beverly                | MA    | 01915 |
| 145  | 49          | Centerville Elementary                                                            | Public School  | Beverly                | MA    | 01915 |
| 146  | 49          | Cove Elementary                                                                   | Public School  | Beverly                | MA    | 01915 |
| 147  | 49          | Hannah Elementary                                                                 | Public School  | Beverly                | MA    | 01915 |
| 148  | 49          | McKeown School                                                                    | Public School  | Beverly                | MA    | 01915 |
| 149  | 49          | North Beverly Elementary                                                          | Public School  | Beverly                | MA    | 01915 |
| 150  | 50          | Billerica Memorial High School                                                    | Public School  | Billerica              | MA    | 01821 |
| 151  | 50          | Frederick J Dutile                                                                | Public School  | North Billerica        | MA    | 01862 |
| 152  | 50          | Hajjar Elementary                                                                 | Public School  | Billerica              | MA    | 01862 |
| 153  | 50          | John F Kennedy                                                                    | Public School  | Billerica              | MA    | 01821 |
| 154  | 50          | Locke Middle                                                                      | Public School  | Billerica              | MA    | 01821 |
| 155  | 50          | Marshall Middle School                                                            | Public School  | Billerica              | MA    | 01821 |
| 156  | 50          | Parker                                                                            | Public School  | Billerica              | MA    | 01821 |
| 157  | 50          | Thomas Ditson                                                                     | Public School  | Billerica              | MA    | 01821 |
| 158  | 52          | Blackstone Valley                                                                 | Public School  | Upton                  | MA    | 01568 |
| 159  | 53          | A F Maloney                                                                       | Public School  | Blackstone             | MA    | 01504 |
| 160  | 53          | Blackstone Millville RHS                                                          | Public School  | Blackstone             | MA    | 01504 |
| 161  | 53          | Frederick W. Hartnett Middle School                                               | Public School  | Blackstone             | MA    | 01504 |
| 162  | 53          | John F Kennedy Elementary                                                         | Public School  | Blackstone             | MA    | 01504 |
| 163  | 53          | Millville Elementary                                                              | Public School  | Millville              | MA    | 01529 |
| 164  | 55          | Blue Hills Regional Vocational Technical                                          | Public School  | Canton                 | MA    | 02021 |
| 165  | 57          | Adams Elementary School                                                           | Public School  | East Boston            | MA    | 02128 |
| 166  | 57          | Alighieri Dante Montessori School                                                 | Public School  | East Boston            | MA    | 02128 |
| 167  | 57          | Another Course To College                                                         | Public School  | Hyde Park              | MA    | 02136 |
| 168  | 57          | Baldwin Early Learning Pilot Academy                                              | Public School  | Brighton               | MA    | 02135 |
| 169  | 57          | Bates Elementary School                                                           | Public School  | Roslindale             | MA    | 02131 |
| 170  | 57          | Beethoven Elementary School                                                       | Public School  | West Roxbury           | MA    | 02132 |
| 171  | 57          | Blackstone Elementary School                                                      | Public School  | Boston                 | MA    | 02118 |
| 172  | 57          | Boston Adult Tech Academy                                                         | Public School  | Back Bay               | MA    | 02116 |
| 173  | 57          | Boston Arts Academy                                                               | Public School  | Boston                 | MA    | 02215 |
| 174  | 57          | Boston Collaborative High School                                                  | Public School  | South Boston           | MA    | 02127 |
| 175  | 57          | Boston Community Leadership Academy                                               | Public School  | Hyde Park              | MA    | 02136 |
| 176  | 57          | Boston International High School & Newcomers Academy                              | Public School  | Dorchester             | MA    | 02124 |
| 177  | 57          | Boston Latin Academy                                                              | Public School  | Dorchester             | MA    | 02121 |
| 178  | 57          | Boston Latin School                                                               | Public School  | Boston                 | MA    | 02115 |
| 179  | 57          | Boston Teachers Union K-8 Pilot                                                   | Public School  | Jamaica Plain          | MA    | 02130 |
| 180  | 57          | Bradley Elementary School                                                         | Public School  | East Boston            | MA    | 02128 |
| 181  | 57          | Brighton High School                                                              | Public School  | Brighton               | MA    | 02135 |
| 182  | 57          | Burke High School                                                                 | Public School  | Dorchester             | MA    | 02121 |
| 183  | 57          | Carter School                                                                     | Public School  | Dorchester             | MA    | 02121 |
| 184  | 57          | Channing Elementary School                                                        | Public School  | Hyde Park              | MA    | 02136 |
| 185  | 57          | Charlestown High School                                                           | Public School  | Charlestown            | MA    | 02129 |
| 186  | 57          | Chittick Elementary School                                                        | Public School  | Mattapan               | MA    | 02126 |
| 187  | 57          | Clap Elementary School                                                            | Public School  | Dorchester             | MA    | 02125 |
| 188  | 57          | Community Academy                                                                 | Public School  | Jamaica Plain          | MA    | 02130 |
| 189  | 57          | Community Academy of Science and Health                                           | Public School  | Dorchester             | MA    | 02122 |
| 190  | 57          | Condon K-8 School                                                                 | Public School  | South Boston           | MA    | 02127 |
| 191  | 57          | Conley Elementary School                                                          | Public School  | Roslindale             | MA    | 02131 |
| 192  | 57          | Curley K-8 School                                                                 | Public School  | Jamaica Plain          | MA    | 02130 |
| 193  | 57          | Dearborn 6-12 STEM Academy                                                        | Public School  | Roxbury                | MA    | 02119 |
| 194  | 57          | Dever Elementary School                                                           | Public School  | Dorchester             | MA    | 02125 |
| 195  | 57          | East Boston Early Education Center                                                | Public School  | East Boston            | MA    | 02128 |
| 196  | 57          | East Boston High School                                                           | Public School  | East Boston            | MA    | 02128 |
| 197  | 57          | Edison K-8 School                                                                 | Public School  | Brighton               | MA    | 02135 |
| 198  | 57          | Eliot K-8 Innovation School                                                       | Public School  | Boston                 | MA    | 02113 |
| 199  | 57          | Ellis Elementary School                                                           | Public School  | Roxbury                | MA    | 02119 |
| 200  | 57          | Ellison-Parks Early Education School                                              | Public School  | Mattapan               | MA    | 02126 |
| 201  | 57          | English High School                                                               | Public School  | Jamaica Plain          | MA    | 02130 |
| 202  | 57          | Everett Elementary School                                                         | Public School  | Dorchester             | MA    | 02125 |
| 203  | 57          | Excel High School                                                                 | Public School  | South Boston           | MA    | 02127 |
| 204  | 57          | Fenway High School                                                                | Public School  | Roxbury                | MA    | 02120 |
| 205  | 57          | Frederick Pilot Middle School                                                     | Public School  | Dorchester             | MA    | 02121 |
| 206  | 57          | Gardner Pilot Academy                                                             | Public School  | Allston                | MA    | 02134 |
| 207  | 57          | Greater Egleston High School                                                      | Public School  | Roxbury                | MA    | 02119 |
| 208  | 57          | Greenwood Sarah K-8 School                                                        | Public School  | Dorchester             | MA    | 02121 |
| 209  | 57          | Grew Elementary School                                                            | Public School  | Hyde Park              | MA    | 02136 |
| 210  | 57          | Guild Elementary School                                                           | Public School  | East Boston            | MA    | 02128 |
| 211  | 57          | Hale Elementary School                                                            | Public School  | Roxbury                | MA    | 02119 |
| 212  | 57          | Haley Pilot School                                                                | Public School  | Roslindale             | MA    | 02131 |
| 213  | 57          | Harvard-Kent Elementary School                                                    | Public School  | Charlestown            | MA    | 02129 |
| 214  | 57          | Haynes Early Education Center                                                     | Public School  | Roxbury                | MA    | 02119 |
| 215  | 57          | Henderson K-12 Inclusion School Lower                                             | Public School  | Dorchester             | MA    | 02122 |
| 216  | 57          | Henderson K-12 Inclusion School Upper                                             | Public School  | Dorchester             | MA    | 02124 |
| 217  | 57          | Hennigan K-8 School                                                               | Public School  | Jamaica Plain          | MA    | 02130 |
| 218  | 57          | Hernandez K-8 School                                                              | Public School  | Roxbury                | MA    | 02119 |
| 219  | 57          | Higginson Inclusion K0-2 School                                                   | Public School  | Roxbury                | MA    | 02119 |
| 220  | 57          | Higginson-Lewis K-8 School                                                        | Public School  | Roxbury                | MA    | 02119 |
| 221  | 57          | Holmes Elementary School                                                          | Public School  | Dorchester             | MA    | 02124 |
| 222  | 57          | Horace Mann School for the Deaf Hard of Hearing                                   | Public School  | Allston                | MA    | 02134 |
| 223  | 57          | Hurley K-8 School                                                                 | Public School  | Boston                 | MA    | 02118 |
| 224  | 57          | Kennedy John F Elementary School                                                  | Public School  | Jamaica Plain          | MA    | 02130 |
| 225  | 57          | Kennedy Patrick J Elementary School                                               | Public School  | East Boston            | MA    | 02128 |
| 226  | 57          | Kenny Elementary School                                                           | Public School  | Dorchester             | MA    | 02122 |
| 227  | 57          | Kilmer K-8 School                                                                 | Public School  | West Roxbury           | MA    | 02132 |
| 228  | 57          | King Elementary School                                                            | Public School  | Dorchester             | MA    | 02121 |
| 229  | 57          | Lee Academy                                                                       | Public School  | Dorchester             | MA    | 02124 |
| 230  | 57          | Lee K-8 School                                                                    | Public School  | Dorchester             | MA    | 02124 |
| 231  | 57          | Lyndon K-8 School                                                                 | Public School  | West Roxbury           | MA    | 02132 |
| 232  | 57          | Lyon High School                                                                  | Public School  | Brighton               | MA    | 02135 |
| 233  | 57          | Lyon K-8 School                                                                   | Public School  | Brighton               | MA    | 02135 |
| 234  | 57          | Madison Park Technical Vocational High School                                     | Public School  | Roxbury                | MA    | 02120 |
| 235  | 57          | Manning Elementary School                                                         | Public School  | Jamaica Plain          | MA    | 02130 |
| 236  | 57          | Margarita Muniz Academy                                                           | Public School  | Boston                 | MA    | 02130 |
| 237  | 57          | Mario Umana Academy                                                               | Public School  | East Boston            | MA    | 02128 |
| 238  | 57          | Mason Elementary School                                                           | Public School  | Roxbury                | MA    | 02119 |
| 239  | 57          | Mather Elementary School                                                          | Public School  | Dorchester             | MA    | 02122 |
| 240  | 57          | Mattahunt Elementary School                                                       | Public School  | Mattapan               | MA    | 02126 |
| 241  | 57          | McKay K-8 School                                                                  | Public School  | East Boston            | MA    | 02128 |
| 242  | 57          | McKinley Schools                                                                  | Public School  | Boston                 | MA    | 02116 |
| 243  | 57          | Mendell Elementary School                                                         | Public School  | Roxbury                | MA    | 02119 |
| 244  | 57          | Mildred Avenue K-8 School                                                         | Public School  | Mattapan               | MA    | 02126 |
| 245  | 57          | Mozart Elementary School                                                          | Public School  | Roslindale             | MA    | 02131 |
| 246  | 57          | Murphy K-8 School                                                                 | Public School  | Dorchester             | MA    | 02122 |
| 247  | 57          | New Mission High School                                                           | Public School  | Hyde Park              | MA    | 02136 |
| 248  | 57          | O'Bryant School of Math & Science                                                 | Public School  | Roxbury                | MA    | 02120 |
| 249  | 57          | O'Donnell Elementary School                                                       | Public School  | East Boston            | MA    | 02128 |
| 250  | 57          | Ohrenberger School                                                                | Public School  | West Roxbury           | MA    | 02132 |
| 251  | 57          | Orchard Gardens K-8 School                                                        | Public School  | Roxbury                | MA    | 02119 |
| 252  | 57          | Otis Elementary School                                                            | Public School  | East Boston            | MA    | 02128 |
| 253  | 57          | Perkins Elementary School                                                         | Public School  | South Boston           | MA    | 02127 |
| 254  | 57          | Perry Elementary School                                                           | Public School  | South Boston           | MA    | 02127 |
| 255  | 57          | Philbrick Elementary School                                                       | Public School  | Roslindale             | MA    | 02131 |
| 256  | 57          | Quincy Elementary School                                                          | Public School  | Boston                 | MA    | 02111 |
| 257  | 57          | Quincy Upper School                                                               | Public School  | Boston                 | MA    | 02116 |
| 258  | 57          | Roosevelt K-8 School                                                              | Public School  | Hyde Park              | MA    | 02136 |
| 259  | 57          | Russell Elementary School                                                         | Public School  | Dorchester             | MA    | 02125 |
| 260  | 57          | Shaw Elementary School                                                            | Public School  | Dorchester             | MA    | 02124 |
| 261  | 57          | Snowden International High School                                                 | Public School  | Boston                 | MA    | 02116 |
| 262  | 57          | Sumner Elementary School                                                          | Public School  | Roslindale             | MA    | 02131 |
| 263  | 57          | Taylor Elementary School                                                          | Public School  | Mattapan               | MA    | 02126 |
| 264  | 57          | TechBoston Academy                                                                | Public School  | Dorchester             | MA    | 02124 |
| 265  | 57          | Tobin K-8 School                                                                  | Public School  | Roxbury                | MA    | 02120 |
| 266  | 57          | Trotter Elementary School                                                         | Public School  | Dorchester             | MA    | 02121 |
| 267  | 57          | Tynan Elementary School                                                           | Public School  | South Boston           | MA    | 02127 |
| 268  | 57          | UP Academy Holland                                                                | Public School  | Dorchester             | MA    | 02121 |
| 269  | 57          | Warren-Prescott K-8 School                                                        | Public School  | Charlestown            | MA    | 02129 |
| 270  | 57          | West Zone Early Learning Center                                                   | Public School  | Jamaica Plain          | MA    | 02130 |
| 271  | 57          | Winship Elementary School                                                         | Public School  | Brighton               | MA    | 02135 |
| 272  | 57          | Winthrop Elementary School                                                        | Public School  | Dorchester             | MA    | 02125 |
| 273  | 57          | Young Achievers K-8 School                                                        | Public School  | Mattapan               | MA    | 02126 |
| 274  | 58          | Boston Collegiate Charter School                                                  | Charter School | Dorchester             | MA    | 02125 |
| 275  | 59          | Boston Day and Evening Academy Charter School                                     | Charter School | Roxbury                | MA    | 02119 |
| 276  | 60          | Boston Green Academy Horace Mann Charter School                                   | Charter School | Brighton               | MA    | 02135 |
| 277  | 61          | Boston Preparatory Charter Public School                                          | Charter School | Hyde Park              | MA    | 02136 |
| 278  | 62          | Boston Renaissance Charter Public School                                          | Charter School | Hyde Park              | MA    | 02136 |
| 279  | 63          | Bourne High School                                                                | Public School  | Bourne                 | MA    | 02532 |
| 280  | 63          | Bourne Intermediate School                                                        | Public School  | Bourne                 | MA    | 02532 |
| 281  | 63          | Bourne Middle School                                                              | Public School  | Bourne                 | MA    | 02532 |
| 282  | 63          | Bournedale Elementary School                                                      | Public School  | Bournedale             | MA    | 02532 |
| 283  | 65          | Harry Lee Cole                                                                    | Public School  | Boxford                | MA    | 01921 |
| 284  | 65          | Spofford Pond                                                                     | Public School  | Boxford                | MA    | 01921 |
| 285  | 67          | Archie T Morrison                                                                 | Public School  | Braintree              | MA    | 02184 |
| 286  | 67          | Braintree High                                                                    | Public School  | Braintree              | MA    | 02184 |
| 287  | 67          | Donald Ross                                                                       | Public School  | Braintree              | MA    | 02184 |
| 288  | 67          | East Middle School                                                                | Public School  | Braintree              | MA    | 02184 |
| 289  | 67          | Highlands                                                                         | Public School  | Braintree              | MA    | 02184 |
| 290  | 67          | Hollis                                                                            | Public School  | Braintree              | MA    | 02184 |
| 291  | 67          | Liberty                                                                           | Public School  | Braintree              | MA    | 02184 |
| 292  | 67          | Mary E Flaherty School                                                            | Public School  | Braintree              | MA    | 02184 |
| 293  | 67          | Monatiquot Kindergarten Center                                                    | Public School  | Braintree              | MA    | 02184 |
| 294  | 67          | South Middle School                                                               | Public School  | Braintree              | MA    | 02184 |
| 295  | 68          | Eddy Elementary                                                                   | Public School  | Brewster               | MA    | 02631 |
| 296  | 68          | Stony Brook Elementary                                                            | Public School  | Brewster               | MA    | 02631 |
| 297  | 69          | Bridge Boston Charter School                                                      | Charter School | Roxbury                | MA    | 02119 |
| 298  | 71          | Bridgewater Middle School                                                         | Public School  | Bridgewater            | MA    | 02324 |
| 299  | 71          | Bridgewater-Raynham Regional                                                      | Public School  | Bridgewater            | MA    | 02324 |
| 300  | 71          | Laliberte Elementary School                                                       | Public School  | Raynham                | MA    | 02767 |
| 301  | 71          | Merrill Elementary School                                                         | Public School  | Raynham                | MA    | 02767 |
| 302  | 71          | Mitchell Elementary School                                                        | Public School  | Bridgewater            | MA    | 02324 |
| 303  | 71          | Raynham Middle School                                                             | Public School  | Raynham                | MA    | 02767 |
| 304  | 71          | Therapeutic Day School                                                            | Public School  | Bridgewater            | MA    | 02324 |
| 305  | 71          | Williams Intermediate School                                                      | Public School  | Bridgewater            | MA    | 02324 |
| 306  | 72          | Brimfield Elementary                                                              | Public School  | Brimfield              | MA    | 01010 |
| 307  | 73          | Bristol County Agricultural High                                                  | Public School  | Dighton                | MA    | 02715 |
| 308  | 74          | Bristol-Plymouth Vocational Technical                                             | Public School  | Taunton                | MA    | 02780 |
| 309  | 75          | Ashfield Middle School                                                            | Public School  | Brockton               | MA    | 02302 |
| 310  | 75          | Barrett Russell Early Childhood Center                                            | Public School  | Brockton               | MA    | 02301 |
| 311  | 75          | Brockton Champion High School                                                     | Public School  | Brockton               | MA    | 02301 |
| 312  | 75          | Brockton High                                                                     | Public School  | Brockton               | MA    | 02301 |
| 313  | 75          | Brockton Virtual Learning Academy                                                 | Public School  | Brockton               | MA    | 02301 |
| 314  | 75          | Brookfield                                                                        | Public School  | Brockton               | MA    | 02302 |
| 315  | 75          | Downey                                                                            | Public School  | Brockton               | MA    | 02302 |
